rank,title,detail_url,img_url,rating_num,comment_num,quote
121,爱在日落黄昏时,https://movie.douban.com/subject/1291990/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,8.9,478918人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
122,小森林 冬春篇,https://movie.douban.com/subject/25814707/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,9.0,339601人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
123,倩女幽魂,https://movie.douban.com/subject/1297447/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,8.8,655985人评价,两张绝世的脸。 
124,借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,8.9,487638人评价,曾经的那段美好会沉淀为一辈子的记忆。
125,甜蜜蜜,https://movie.douban.com/subject/1305164/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,8.9,465661人评价,相逢只要一瞬间，等待却像是一辈子。
126,侧耳倾听,https://movie.douban.com/subject/1297052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,8.9,410164人评价,少女情怀总是诗。
127,萤火之森,https://movie.douban.com/subject/5989818/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,8.9,467338人评价,触不到的恋人。
128,幸福终点站,https://movie.douban.com/subject/1292274/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,8.8,496548人评价,有时候幸福需要等一等。 
129,驯龙高手,https://movie.douban.com/subject/2353023/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,8.7,678429人评价,和谐的生活离不开摸头与被摸头。
130,时空恋旅人,https://movie.douban.com/subject/10577869/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,8.8,563193人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
131,玛丽和马克思,https://movie.douban.com/subject/3072124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg,8.9,389944人评价,你是我最好的朋友，你是我唯一的朋友 。
132,怪兽电力公司,https://movie.douban.com/subject/1291579/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,8.7,589416人评价,不要给它起名字，起了名字就有感情了。
133,大鱼,https://movie.douban.com/subject/1291545/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,8.8,512854人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
134,告白,https://movie.douban.com/subject/4268598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,8.8,615504人评价,没有一人完全善，也没有一人完全恶。
135,教父3,https://movie.douban.com/subject/1294240/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,9.0,322347人评价,任何信念的力量，都无法改变命运。
136,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,8.9,395346人评价,惠及一生的美丽。
137,阳光姐妹淘,https://movie.douban.com/subject/4917726/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,8.8,546987人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
138,神偷奶爸,https://movie.douban.com/subject/3287562/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,8.6,856747人评价,Mr. I Don't Care其实也有Care的时候。
139,傲慢与偏见,https://movie.douban.com/subject/1418200/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,8.7,701750人评价,爱是摈弃傲慢与偏见之后的曙光。
140,玩具总动员3,https://movie.douban.com/subject/1858711/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg,8.9,453545人评价,跨度十五年的欢乐与泪水。
141,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg,8.7,571633人评价,百看不厌。 
142,釜山行,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,8.6,1064152人评价,揭露人性的丧尸题材力作。
143,恐怖直播,https://movie.douban.com/subject/21360417/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2054744538.jpg,8.7,582218人评价,恐怖分子的“秋菊打官司”。
144,寄生虫,https://movie.douban.com/subject/27010768/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,8.8,1224380人评价,
145,被解救的姜戈,https://movie.douban.com/subject/6307447/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,8.8,540612人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
146,未麻的部屋,https://movie.douban.com/subject/1395091/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,9.0,272492人评价,好的剧本是，就算你猜到了结局也猜不到全部。
147,哪吒闹海,https://movie.douban.com/subject/1307315/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg,9.1,227330人评价,想你时你在闹海。
